"","Estimate","Std. Error","Adjusted SE","z value","Pr(>|z|)","P1","P1.ci.ub","P1.ci.lb","OR","OR.ci.ub","OR.ci.lb","ORdelta","ORdelta.ci.ub","ORdelta.ci.lb"
"(Intercept)",-2.323,0.2,0.201,11.582,0,0.089,0.482,-0.304,0.098,0.145,0.066,-90.205,-85.493,-93.387
"scale(FloralDiv)",0.351,0.135,0.136,2.591,0.01,0.122,0.388,-0.143,1.421,1.853,1.09,42.075,85.256,8.959
"scale(MeanITD)",0.587,0.137,0.137,4.279,0,0.15,0.418,-0.119,1.798,2.352,1.375,79.793,135.156,37.464
"Socialitysolitary",-1.238,0.344,0.344,3.6,0,0.028,0.701,-0.646,0.29,0.568,0.148,-71.016,-43.157,-85.221
"scale(Richness)",0.075,0.129,0.129,0.583,0.56,0.095,0.348,-0.157,1.078,1.387,0.838,7.797,38.737,-16.243
"scale(r.degree)",0.109,0.26,0.26,0.419,0.675,0.098,0.608,-0.412,1.115,1.857,0.67,11.533,85.733,-33.024
"scale(FloralAbundance)",0.059,0.144,0.144,0.406,0.685,0.094,0.377,-0.189,1.06,1.407,0.799,6.033,40.665,-20.072
"SFBloom",-0.118,0.354,0.354,0.333,0.739,0.08,0.774,-0.614,0.889,1.778,0.444,-11.136,77.818,-55.59
"scale(TotalAbundance)",0.033,0.149,0.149,0.218,0.827,0.092,0.384,-0.2,1.033,1.384,0.771,3.315,38.4,-22.876
